config_key,dataset,evidence_pos,density,interference,status,num_sequences,avg_detections,std_detections,min_detections,max_detections,pct_with_detections
"('04_temporal_recency', 'End', 'Low', 'T')",04_temporal_recency,End,Low,T,success,12,0.9166666666666666,3.0402393911591163,0,11,8.333333333333332
"('04_temporal_recency', 'End', 'Medium', 'N')",04_temporal_recency,End,Medium,N,success,10,1.2,3.6000000000000005,0,12,10.0
"('04_temporal_recency', 'End', 'Medium', 'P')",04_temporal_recency,End,Medium,P,success,16,1.5625,3.061224224064614,0,11,25.0
"('04_temporal_recency', 'End', 'Medium', 'T')",04_temporal_recency,End,Medium,T,success,12,0.16666666666666666,0.5527707983925666,0,2,8.333333333333332
"('04_temporal_recency', 'Mid', 'High', 'N')",04_temporal_recency,Mid,High,N,success,12,1.3333333333333333,3.2231799343022853,0,11,16.666666666666664
"('04_temporal_recency', 'Mid', 'High', 'P')",04_temporal_recency,Mid,High,P,success,17,2.4705882352941178,5.932142228460569,0,23,23.52941176470588
"('04_temporal_recency', 'Mid', 'High', 'T')",04_temporal_recency,Mid,High,T,success,16,1.1875,3.20582965080804,0,13,18.75
"('04_temporal_recency', 'Mid', 'Low', 'N')",04_temporal_recency,Mid,Low,N,success,9,1.6666666666666667,3.1269438398822866,0,8,22.22222222222222
"('04_temporal_recency', 'Mid', 'Low', 'P')",04_temporal_recency,Mid,Low,P,success,16,0.6875,2.0223362109204297,0,8,12.5
"('04_temporal_recency', 'Mid', 'Low', 'T')",04_temporal_recency,Mid,Low,T,success,9,0.2222222222222222,0.6285393610547089,0,2,11.11111111111111
"('04_temporal_recency', 'Mid', 'Medium', 'N')",04_temporal_recency,Mid,Medium,N,success,8,0.25,0.6614378277661477,0,2,12.5
"('04_temporal_recency', 'Mid', 'Medium', 'P')",04_temporal_recency,Mid,Medium,P,success,13,1.2307692307692308,2.576636034529881,0,9,23.076923076923077
"('04_temporal_recency', 'Mid', 'Medium', 'T')",04_temporal_recency,Mid,Medium,T,success,13,0.0,0.0,0,0,0.0
"('05_stackmath_numerical', 'Beg', 'High', 'N')",05_stackmath_numerical,Beg,High,N,success,20,3.4,6.506919393998975,0,25,30.0
"('05_stackmath_numerical', 'Beg', 'High', 'P')",05_stackmath_numerical,Beg,High,P,success,20,1.85,4.1865857210858595,0,15,20.0
"('05_stackmath_numerical', 'Beg', 'High', 'T')",05_stackmath_numerical,Beg,High,T,success,20,2.2,4.66476151587624,0,19,30.0
