domain,question_id,config,interference_score_lexical_wrt_distractors,evidence_overlap_ratio,hallu_score,distractor_density,evid_overlap_ngram,evid_overlap_emb,total_response_tokens,interference_token_hits,att_avg_entropy,attention_entropy,cross_attention_mass_to_gold,distractor_attention_max,hallucination_score,distractor_density_chunk,chunk_hallu_score,evidence_overlap_emb,seq_len,resp_len,gold_len,dist_len,cross_attention_mass_to_gold_raw,gold_found,dist_found,gold_available
04_temporal_recency,3,Low-P-End,0.9182429888951629,0.4192427936941385,0.7019398174289478,2.0,0.010421189752496738,0.4192427936941385,18.875,7.0,2.460634618997574,,,0.388427734375,0.512012654915452,0.33,0.487987345084548,0.4192427936941385,605.75,32.75,0.0,560.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Low-P-Mid,0.987012987012987,0.5293028482369014,0.7018422520523361,2.0,0.01569264069264067,0.5293028482369014,20.285714285714285,8.428571428571429,2.4789564079708524,,,0.3897569444444444,0.4519847300317552,0.33,0.5480152699682448,0.5293028482369014,602.5555555555555,31.555555555555557,0.0,558.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Low-T-Beg,0.4705882352941176,1.0000001192092896,0.0,2.0,1.0,1.0000001192092896,58.0,7.0,2.86354398727417,,,0.2763671875,0.0,0.33,1.0,1.0000001192092896,718.0,90.0,90.0,517.0,507.25,1.0,1.0,1.0
04_temporal_recency,3,Low-T-End,0.6799242424242423,0.7456183433532715,0.32291666666666663,2.0,0.15789473684210523,0.7456183433532715,23.5,5.5,2.229755481084188,,,0.384521484375,0.2839411199092865,0.33,0.7160588800907135,0.7456183433532715,594.0,47.0,0.0,534.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Low-T-Mid,0.7436417537837416,0.6615471988916397,0.5024379778436574,2.0,0.10609756097560975,0.6615471988916397,27.0,7.25,2.432185411453247,,,0.40283203125,0.3887463882565498,0.33,0.6112536117434502,0.6615471988916397,534.25,39.25,0.0,482.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Medium-N-Beg,0.2727272727272727,0.99717116355896,0.0,2.0,0.8378378378378378,0.99717116355896,58.0,1.0,2.3494908809661865,,,0.376220703125,0.0010440349578857,0.67,0.9989559650421144,0.99717116355896,1804.0,89.0,0.0,1702.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Medium-N-End,0.33318825079438885,0.5129626080393791,0.5613100829264512,2.0,0.09222591362126244,0.5129626080393791,24.0,0.2,2.5114490509033205,,,0.41162109375,0.4486195266246795,0.67,0.5513804733753205,0.5129626080393791,1786.8,34.8,0.0,1739.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Medium-N-Mid,0.3175599700149925,0.8169657985369364,0.22341954022988508,2.0,0.21137671177376222,0.8169657985369364,26.666666666666668,0.3333333333333333,2.5038281281789145,,,0.4261881510416667,0.1736410061518351,0.67,0.8263589938481649,0.8169657985369364,1870.0,39.0,0.0,1818.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Medium-P-Beg,0.5757575757575758,0.99717116355896,0.0,2.0,0.8378378378378378,0.99717116355896,58.0,12.0,2.3668460845947266,,,0.37548828125,0.0010440349578857,0.67,0.9989559650421144,0.99717116355896,1601.0,89.0,0.0,1499.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Medium-P-End,0.9753401360544218,0.40162863050188335,0.7627723154038943,2.0,0.009523809523809514,0.40162863050188335,19.571428571428573,7.285714285714286,2.732775926589966,,,0.377838134765625,0.5389468781650066,0.67,0.46105312183499336,0.40162863050188335,1483.375,31.375,0.0,1439.0,0.0,0.0,1.0,0.0
