row_id,layer,head,entropy,eff_rank,head_sim,self_attn_ratio
1,8,6,2.213126898,1,0.998844683,0.01656899
1,8,7,1.26151824,1,0.998231173,0.057435781
1,8,8,2.146207809,1,0.998818219,0.02833518
1,8,9,1.969673395,1,0.999008417,0.025328686
1,8,10,2.180535555,1,0.99909687,0.060760491
1,8,11,1.920958161,1,0.998835146,0.017725557
1,9,0,2.385997534,1,0.997178316,0.040910348
1,9,1,1.841159821,1,0.998850465,0.009692514
1,9,2,2.492570877,1,0.99728322,0.018115588
1,9,3,1.628246665,1,0.998118401,0.046391472
1,9,4,1.681938767,1,0.999029696,0.012165296
1,9,5,2.220306873,1,0.999130666,0.033336271
1,9,6,1.425730586,1,0.999015212,0.005599999
1,9,7,1.721068859,1,0.99897939,0.018203402
1,9,8,2.335650921,1,0.998249054,0.010840807
1,9,9,1.32576108,1,0.999028802,0.006121484
1,9,10,0.976203978,1,0.998915851,0.030397631
1,9,11,2.467374325,1,0.998566091,0.005378229
1,10,0,2.4783535,1,0.995776355,0.015175489
1,10,1,1.657132626,1,0.998448372,0.0087459
1,10,2,1.925394535,1,0.998420298,0.008154483
1,10,3,2.672775984,1,0.995576084,0.010952796
1,10,4,2.978706121,1,0.997419596,0.019758897
1,10,5,0.941965759,1,0.998382509,0.024174323
1,10,6,1.731743455,1,0.998217523,0.007789009
1,10,7,2.430933475,1,0.998614132,0.030000011
1,10,8,2.23405385,1,0.998400271,0.010552094
1,10,9,1.402852893,1,0.998359442,0.06289351
1,10,10,1.794198394,1,0.997672021,0.007726005
1,10,11,1.972017646,1,0.998501539,0.043137036
1,11,0,4.530563831,1.000000715,0.909154713,0.026482312
1,11,1,2.488060236,1,0.911588728,0.016195416
1,11,2,2.080748081,1,0.910508692,0.008069677
1,11,3,2.270845413,1,0.912063658,0.031278003
1,11,4,3.551659107,1,0.913856864,0.013701588
1,11,5,2.00703454,1,0.910460711,0.010749971
1,11,6,1.765302777,1,0.909821749,0.006785129
1,11,7,2.244888544,1,0.911114693,0.017145563
1,11,8,3.832684994,1.000023484,0.079530902,0.099945717
1,11,9,1.718782425,1,0.909865141,0.006378512
1,11,10,2.452099323,1,0.912956595,0.045240033
1,11,11,2.61606288,1,0.912914455,0.039124787
2,0,0,4.444248199,1.000019073,0.818367064,0.02258512
2,0,1,0.44076696,1.00003159,0.815430105,0.865994751
2,0,2,4.63506937,1.000016809,0.811319172,0.0393418
2,0,3,0.428940266,1.00003016,0.796451628,0.824098945
2,0,4,1.154772282,1.000028253,0.790594339,0.584800363
2,0,5,1.373518586,1.000026703,0.790729761,0.661869884
2,0,6,4.323421001,1.000021577,0.741760314,0.02964747
2,0,7,1.86074996,1.000028491,0.763265014,0.16031453
2,0,8,4.267560959,1.000024319,0.817185044,0.05950442
2,0,9,4.65375185,1.000019193,0.8491081,0.020892816
2,0,10,4.248264313,1.000025392,0.884355962,0.157609746
2,0,11,5.431499958,1.00001514,0.729709029,0.0074032
2,1,0,2.333337784,1.000028729,0.708308935,0.096969604
2,1,1,2.735071182,1.000022054,0.705740392,0.093007758
2,1,2,4.766996384,1.000016809,0.682354867,0.025652248
2,1,3,4.318966389,1.000001431,0.690423071,0.034515638
2,1,4,3.759443998,1.000010967,0.814408839,0.068486646
2,1,5,4.602094173,1.000012636,0.836198449,0.084496632
2,1,6,4.392798424,1.000011444,0.814132512,0.040815867
2,1,7,4.929533005,1.000013351,0.83377856,0.018852599
2,1,8,5.345877171,1.000004649,0.798217773,0.009560445
2,1,9,5.409102917,1.00000751,0.771123886,0.006873814
2,1,10,4.457423687,1.000013232,0.613195837,0.040464927
2,1,11,1.750481248,1.000026941,0.770966291,0.668101668
2,2,0,2.510015965,1.000001192,0.884504318,0.099554963
2,2,1,4.763064861,1.000000954,0.874509037,0.012334441
2,2,2,1.087627053,1.000004053,0.890161932,0.125666231
2,2,3,1.908267021,1.000005126,0.85466063,0.134967849
2,2,4,1.68828845,1.000000238,0.869436324,0.093059294
2,2,5,1.82640028,1.000003815,0.876201093,0.137664333
2,2,6,2.777845383,1.00000596,0.815762162,0.077352911
2,2,7,2.62056613,1,0.840834796,0.032219227
2,2,8,1.874016881,1.000001907,0.895640194,0.112805381
2,2,9,1.746999383,1.000005007,0.857489765,0.12460015
2,2,10,3.113333702,1.000029683,0.489926606,0.126523808
2,2,11,3.121741056,1.000000238,0.8826828,0.107267678
2,3,0,2.835564852,1,0.994781494,0.067817263
2,3,1,1.878851533,1,0.994482458,0.060216676
2,3,2,1.40894556,1.000000358,0.987904906,0.113928474
2,3,3,0.876460195,1,0.994455159,0.056472488
2,3,4,3.677493811,1,0.994979441,0.008323908
